humidity,acceleration_z,data_format,acceleration_x,acceleration,battery,acceleration_y,temperature,pressure,time,device_mac
29.5,1033,3,8,1033.205691041237,3139,-19,23.32,1012.64,2019-09-26T10:55:06.222421,E4:49:12:58:E8:AF
29.0,1039,3,14,1039.2025789036516,3151,-15,23.33,1012.58,2019-09-26T11:00:07.605595,E4:49:12:58:E8:AF
29.0,1040,3,13,1040.2043068551486,3151,-16,23.33,1012.58,2019-09-26T11:05:07.093886,E4:49:12:58:E8:AF
29.0,1032,3,11,1032.2335007158022,3157,-19,23.34,1012.6,2019-09-26T11:10:06.569605,E4:49:12:58:E8:AF
29.0,1038,3,11,1038.197476398397,3145,-17,23.33,1012.64,2019-09-26T11:15:06.992504,E4:49:12:58:E8:AF
29.0,1034,3,15,1034.3021802162075,3151,-20,23.31,1012.6,2019-09-26T11:20:07.409090,E4:49:12:58:E8:AF
29.0,1040,3,13,1040.2369922282132,3151,-18,23.31,1012.56,2019-09-26T11:25:06.888899,E4:49:12:58:E8:AF
28.5,1041,3,10,1041.1709753926104,3151,-16,23.3,1012.56,2019-09-26T11:30:06.418746,E4:49:12:58:E8:AF
28.5,1036,3,14,1036.2181237558045,3151,-16,23.3,1012.56,2019-09-26T11:35:08.798922,E4:49:12:58:E8:AF
28.5,1035,3,11,1035.1980486844052,3145,-17,23.31,1012.55,2019-09-26T11:40:06.279492,E4:49:12:58:E8:AF
28.5,1036,3,6,1036.1409170571346,3139,-16,23.31,1012.53,2019-09-26T11:45:06.641135,E4:49:12:58:E8:AF
28.5,1042,3,16,1042.296023210297,3145,-19,23.31,1012.53,2019-09-26T11:50:07.121420,E4:49:12:58:E8:AF
28.5,1038,3,12,1038.2254090514257,3145,-18,23.32,1012.49,2019-09-26T11:55:06.476945,E4:49:12:58:E8:AF
28.5,1037,3,13,1037.2555133620644,3139,-19,23.32,1012.48,2019-09-26T12:00:06.940595,E4:49:12:58:E8:AF
28.5,1035,3,12,1035.1932186794888,3145,-16,23.33,1012.47,2019-09-26T12:05:07.360617,E4:49:12:58:E8:AF
28.5,1030,3,13,1030.1912443813528,3151,-15,23.34,1012.43,2019-09-26T12:10:06.828090,E4:49:12:58:E8:AF
28.5,1035,3,12,1035.24393260719,3139,-19,23.35,1012.42,2019-09-26T12:15:06.333364,E4:49:12:58:E8:AF
28.5,1041,3,10,1041.1709753926104,3145,-16,23.36,1012.45,2019-09-26T12:20:07.667871,E4:49:12:58:E8:AF
28.5,1032,3,12,1032.209765503117,3151,-17,23.37,1012.43,2019-09-26T12:25:07.119890,E4:49:12:58:E8:AF
28.0,1040,3,14,1040.1754659671608,3151,-13,23.38,1012.44,2019-09-26T12:30:06.562359,E4:49:12:58:E8:AF
28.0,1034,3,10,1034.2228966716991,3151,-19,23.39,1012.47,2019-09-26T12:35:06.950489,E4:49:12:58:E8:AF
28.0,1038,3,11,1038.2143323996254,3139,-18,23.4,1012.43,2019-09-26T12:40:06.333806,E4:49:12:58:E8:AF
28.0,1036,3,9,1036.1336786341808,3151,-14,23.4,1012.42,2019-09-26T12:45:06.783219,E4:49:12:58:E8:AF
28.0,1036,3,13,1036.2943597260385,3139,-21,23.41,1012.43,2019-09-26T12:50:06.201760,E4:49:12:58:E8:AF
28.0,1035,3,10,1035.1719663901258,3139,-16,23.4,1012.41,2019-09-26T12:55:07.663478,E4:49:12:58:E8:AF
28.0,1038,3,9,1038.2721223263195,3139,-22,23.38,1012.42,2019-09-26T13:00:09.089906,E4:49:12:58:E8:AF
28.0,1038,3,7,1038.1628003352846,3145,-17,23.36,1012.39,2019-09-26T13:05:06.562451,E4:49:12:58:E8:AF
28.0,1040,3,15,1040.3004373737426,3151,-20,23.34,1012.34,2019-09-26T13:10:06.940326,E4:49:12:58:E8:AF
28.0,1035,3,9,1035.1787285295231,3151,-17,23.32,1012.32,2019-09-26T13:15:06.297808,E4:49:12:58:E8:AF
28.0,1039,3,11,1039.1814086096806,3145,-16,23.29,1012.33,2019-09-26T13:20:08.769062,E4:49:12:58:E8:AF
28.0,1036,3,8,1036.2050955288726,3139,-19,23.27,1012.27,2019-09-26T13:25:07.155787,E4:49:12:58:E8:AF
28.0,1038,3,11,1038.1666532883821,3145,-15,23.25,1012.28,2019-09-26T13:30:06.628320,E4:49:12:58:E8:AF
28.0,1035,3,11,1035.214953524146,3145,-18,23.22,1012.25,2019-09-26T13:35:07.164212,E4:49:12:58:E8:AF
28.0,1034,3,11,1034.2330491721873,3139,-19,23.19,1012.28,2019-09-26T13:40:06.649327,E4:49:12:58:E8:AF
28.0,1036,3,12,1036.2089557613367,3151,-17,23.17,1012.23,2019-09-26T13:45:06.053132,E4:49:12:58:E8:AF
28.0,1037,3,10,1037.2044157252706,3139,-18,23.15,1012.23,2019-09-26T13:50:06.518002,E4:49:12:58:E8:AF
28.0,1036,3,8,1036.1703527895402,3139,-17,23.14,1012.17,2019-09-26T13:55:06.999830,E4:49:12:58:E8:AF
28.0,1034,3,10,1034.2228966716991,3145,-19,23.13,1012.18,2019-09-26T14:00:06.457045,E4:49:12:58:E8:AF
28.0,1036,3,9,1036.2321168541341,3139,-20,23.13,1012.14,2019-09-26T14:05:06.933438,E4:49:12:58:E8:AF
28.0,1034,3,14,1034.2344995212643,3139,-17,23.12,1012.16,2019-09-26T14:10:07.488755,E4:49:12:58:E8:AF
28.0,1036,3,13,1036.2379070464465,3163,-18,23.12,1012.15,2019-09-26T14:15:06.850429,E4:49:12:58:E8:AF
28.0,1036,3,13,1036.2210188951003,3139,-17,23.11,1012.11,2019-09-26T14:20:07.379869,E4:49:12:58:E8:AF
28.5,1035,3,10,1035.2048106534282,3139,-18,23.1,1012.15,2019-09-26T14:25:06.822265,E4:49:12:58:E8:AF
28.5,1039,3,12,1039.2083525453402,3151,-17,23.09,1012.17,2019-09-26T14:30:06.331011,E4:49:12:58:E8:AF
28.5,1037,3,11,1037.2145390419478,3151,-18,23.07,1012.16,2019-09-26T14:35:06.698738,E4:49:12:58:E8:AF
28.5,1041,3,13,1041.2199575497964,3151,-17,23.05,1012.16,2019-09-26T14:40:07.085821,E4:49:12:58:E8:AF
28.5,1035,3,12,1035.2091576101905,3151,-17,23.03,1012.15,2019-09-26T14:45:06.551581,E4:49:12:58:E8:AF
28.5,1037,3,11,1037.1528334821248,3151,-14,23.02,1012.13,2019-09-26T14:50:06.815568,E4:49:12:58:E8:AF
28.5,1041,3,12,1041.1772183446965,3145,-15,23.0,1012.21,2019-09-26T14:55:06.356882,E4:49:12:58:E8:AF
29.0,1041,3,13,1041.2732590439457,3139,-20,22.99,1012.21,2019-09-26T15:00:06.725606,E4:49:12:58:E8:AF
29.0,1035,3,12,1035.2091576101905,3145,-17,22.99,1012.21,2019-09-26T15:05:06.170556,E4:49:12:58:E8:AF
29.0,1036,3,8,1036.1703527895402,3145,-17,22.98,1012.22,2019-09-26T15:10:06.701261,E4:49:12:58:E8:AF
29.0,1038,3,7,1038.1180087061393,3145,-14,22.96,1012.24,2019-09-26T15:15:07.173736,E4:49:12:58:E8:AF
29.0,1038,3,9,1038.2514146390556,3151,-21,22.95,1012.26,2019-09-26T15:20:06.711411,E4:49:12:58:E8:AF
29.0,1035,3,10,1035.2048106534282,3145,-18,22.93,1012.27,2019-09-26T15:25:06.207189,E4:49:12:58:E8:AF
29.0,1038,3,8,1038.154131138532,3139,-16,22.92,1012.29,2019-09-26T15:30:07.576054,E4:49:12:58:E8:AF
29.0,1034,3,7,1034.2369167652062,3151,-21,22.91,1012.3,2019-09-26T15:35:06.964427,E4:49:12:58:E8:AF
29.0,1040,3,10,1040.2038261802347,3145,-18,22.9,1012.29,2019-09-26T15:40:06.440564,E4:49:12:58:E8:AF
29.0,1038,3,12,1038.1926603477796,3151,-16,22.88,1012.29,2019-09-26T15:45:06.885674,E4:49:12:58:E8:AF
