acceleration_y,data_format,pressure,acceleration_z,battery,temperature,acceleration,acceleration_x,humidity,time,device_mac
19,3,986.42,1028,3073,21.84,1029.6455700871052,-55,39.5,2019-10-12T00:00:06.408613,E4:49:12:58:E8:AF
22,3,986.42,1027,3061,21.83,1028.7069553570639,-55,39.0,2019-10-12T00:05:06.867502,E4:49:12:58:E8:AF
20,3,986.37,1030,3073,21.83,1031.825566653589,-58,39.0,2019-10-12T00:10:06.366062,E4:49:12:58:E8:AF
22,3,986.33,1034,3073,21.83,1035.5404386116459,-52,39.0,2019-10-12T00:15:06.771120,E4:49:12:58:E8:AF
21,3,986.3,1030,3061,21.83,1031.6283245432921,-54,39.0,2019-10-12T00:20:06.286171,E4:49:12:58:E8:AF
19,3,986.31,1030,3061,21.82,1031.64237989722,-55,39.0,2019-10-12T00:25:06.661317,E4:49:12:58:E8:AF
24,3,986.32,1027,3067,21.82,1028.7516707155328,-55,39.0,2019-10-12T00:30:07.071858,E4:49:12:58:E8:AF
19,3,986.25,1028,3067,21.82,1029.8669817020061,-59,39.0,2019-10-12T00:35:06.547919,E4:49:12:58:E8:AF
21,3,986.14,1029,3067,21.81,1030.6827834013723,-55,39.0,2019-10-12T00:40:06.971078,E4:49:12:58:E8:AF
20,3,986.13,1025,3067,21.81,1026.5130296299214,-52,38.5,2019-10-12T00:45:06.531781,E4:49:12:58:E8:AF
22,3,986.1,1029,3073,21.8,1030.7574884520607,-56,38.5,2019-10-12T00:50:07.825406,E4:49:12:58:E8:AF
23,3,986.11,1029,3079,21.79,1030.7254726647634,-55,38.5,2019-10-12T00:55:06.198495,E4:49:12:58:E8:AF
23,3,986.15,1026,3079,21.78,1027.8394816312516,-57,38.5,2019-10-12T01:00:06.629444,E4:49:12:58:E8:AF
21,3,986.16,1028,3073,21.78,1029.7931831197952,-57,38.5,2019-10-12T01:05:07.109122,E4:49:12:58:E8:AF
23,3,986.11,1031,3073,21.77,1032.7221310691468,-55,38.5,2019-10-12T01:10:06.562798,E4:49:12:58:E8:AF
20,3,986.16,1031,3067,21.77,1032.8237991061205,-58,38.5,2019-10-12T01:15:07.120639,E4:49:12:58:E8:AF
22,3,986.19,1028,3073,21.76,1029.8698946954416,-58,38.5,2019-10-12T01:20:07.549436,E4:49:12:58:E8:AF
24,3,986.19,1033,3073,21.75,1034.795148809657,-56,38.5,2019-10-12T01:25:06.964452,E4:49:12:58:E8:AF
19,3,986.17,1023,3055,21.75,1024.6004099159827,-54,38.5,2019-10-12T01:30:06.498032,E4:49:12:58:E8:AF
23,3,986.15,1026,3067,21.74,1027.8954226962974,-58,38.5,2019-10-12T01:35:06.885019,E4:49:12:58:E8:AF
22,3,986.14,1031,3061,21.74,1032.9787025878122,-60,38.5,2019-10-12T01:40:07.283514,E4:49:12:58:E8:AF
22,3,986.19,1028,3067,21.73,1029.6523685205605,-54,38.5,2019-10-12T01:45:07.601328,E4:49:12:58:E8:AF
23,3,986.26,1036,3073,21.73,1037.50951802863,-51,38.5,2019-10-12T01:50:07.024842,E4:49:12:58:E8:AF
22,3,986.3,1029,3073,21.72,1030.7574884520607,-56,38.5,2019-10-12T01:55:06.424159,E4:49:12:58:E8:AF
24,3,986.28,1029,3073,21.72,1030.7482718879523,-55,38.0,2019-10-12T02:00:06.803335,E4:49:12:58:E8:AF
22,3,986.3,1030,3067,21.71,1031.8105446253203,-57,38.0,2019-10-12T02:05:07.240242,E4:49:12:58:E8:AF
21,3,986.33,1033,3079,21.71,1034.5718921370326,-53,38.0,2019-10-12T02:10:06.667685,E4:49:12:58:E8:AF
21,3,986.27,1028,3079,21.7,1029.7383162726344,-56,38.0,2019-10-12T02:15:06.138053,E4:49:12:58:E8:AF
22,3,986.32,1030,3067,21.7,1031.9229622408836,-59,38.0,2019-10-12T02:20:06.602429,E4:49:12:58:E8:AF
19,3,986.26,1028,3073,21.69,1029.5406742814973,-53,38.0,2019-10-12T02:25:06.973454,E4:49:12:58:E8:AF
20,3,986.11,1033,3067,21.69,1034.9342974314843,-60,38.0,2019-10-12T02:30:06.450726,E4:49:12:58:E8:AF
22,3,985.99,1031,3067,21.69,1032.8087915969732,-57,38.0,2019-10-12T02:35:06.939241,E4:49:12:58:E8:AF
17,3,986.14,1029,3073,21.69,1030.5561605269263,-54,38.0,2019-10-12T02:40:06.507390,E4:49:12:58:E8:AF
21,3,986.16,1027,3073,21.68,1028.9076732146573,-59,38.0,2019-10-12T02:45:06.974090,E4:49:12:58:E8:AF
26,3,986.19,1028,3079,21.68,1030.0776669746801,-60,38.0,2019-10-12T02:50:06.322034,E4:49:12:58:E8:AF
19,3,986.29,1024,3073,21.68,1025.5988494533328,-54,37.5,2019-10-12T02:55:06.785884,E4:49:12:58:E8:AF
19,3,986.38,1027,3061,21.67,1028.7560449397126,-57,37.5,2019-10-12T03:00:06.210283,E4:49:12:58:E8:AF
21,3,986.38,1031,3079,21.67,1032.7332666279324,-56,37.5,2019-10-12T03:05:06.689357,E4:49:12:58:E8:AF
